Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters,Decay_Type,Problem_Size,Seed,Wall_Clock_Time
512,55.0,854,0.0944538870244287,"[6, 5, 6, 7, 2, 2, 6, 0, 2, 4, 4, 7, 2, 6, 5, 1, 5, 3, 6, 6, 0, 1, 3, 4, 7]",geometric,1000,0.99,0.001,999.0511571490651,1000,2048,geom_decay,25,12345,0.09892702102661133
1024,55.0,854,0.0944538870244287,"[6, 5, 6, 7, 2, 2, 6, 0, 2, 4, 4, 7, 2, 6, 5, 1, 5, 3, 6, 6, 0, 1, 3, 4, 7]",geometric,1000,0.99,0.001,999.0511571490651,1000,2048,geom_decay,25,12345,0.09892702102661133
2048,55.0,854,0.0944538870244287,"[6, 5, 6, 7, 2, 2, 6, 0, 2, 4, 4, 7, 2, 6, 5, 1, 5, 3, 6, 6, 0, 1, 3, 4, 7]",geometric,1000,0.99,0.001,999.0511571490651,1000,2048,geom_decay,25,12345,0.09892702102661133
0,109.0,0,0.0002938599791377783,"[7, 8, 5, 7, 5, 1, 6, 0, 3, 8, 7, 1, 5, 7, 8, 3, 7, 0, 7, 2, 1, 8, 0, 8, 9, 8, 4, 5, 4, 9, 1, 8, 2, 0, 7, 2, 8, 0, 5, 6, 3, 8, 7, 2, 1, 3, 5, 3, 9, 2]",geometric,250,0.99,0.001,249.99926165321926,250,2048,geom_decay,50,55,0.3421189785003662
1,108.0,2,0.0020532049820758402,"[7, 8, 5, 7, 5, 1, 6, 0, 3, 8, 7, 1, 5, 7, 8, 3, 7, 0, 7, 2, 1, 8, 0, 8, 0, 8, 4, 5, 4, 9, 1, 8, 2, 0, 7, 2, 8, 0, 5, 6, 3, 8, 7, 2, 1, 3, 5, 3, 9, 2]",geometric,250,0.99,0.001,249.99484120331562,250,2048,geom_decay,50,55,0.3421189785003662
2,108.0,4,0.0036299320054240525,"[7, 8, 5, 7, 5, 1, 6, 0, 3, 8, 7, 3, 5, 7, 8, 3, 7, 0, 7, 2, 1, 8, 0, 8, 0, 8, 4, 5, 4, 9, 1, 8, 2, 0, 7, 2, 8, 0, 5, 6, 3, 8, 7, 2, 1, 3, 5, 3, 9, 2]",geometric,250,0.99,0.001,249.99087965742038,250,2048,geom_decay,50,55,0.3421189785003662
4,109.0,8,0.005504084983840585,"[7, 8, 5, 7, 5, 1, 6, 0, 3, 8, 7, 3, 5, 7, 8, 3, 7, 0, 7, 2, 1, 4, 0, 8, 0, 8, 4, 5, 4, 9, 1, 8, 2, 0, 7, 2, 8, 0, 5, 6, 3, 8, 2, 2, 1, 3, 5, 3, 9, 2]",geometric,250,0.99,0.001,249.98617090683828,250,2048,geom_decay,50,55,0.3421189785003662
8,110.0,16,0.007816787983756512,"[7, 8, 5, 8, 5, 1, 6, 0, 3, 8, 4, 3, 5, 7, 8, 3, 7, 0, 7, 0, 3, 4, 0, 8, 0, 8, 4, 5, 4, 9, 1, 8, 2, 0, 7, 2, 8, 0, 5, 6, 3, 8, 2, 2, 1, 3, 5, 3, 9, 2]",geometric,250,0.99,0.001,249.9803604353323,250,2048,geom_decay,50,55,0.3421189785003662
16,110.0,32,0.011054545000661165,"[7, 8, 5, 8, 5, 4, 7, 3, 3, 8, 4, 3, 5, 7, 8, 3, 7, 0, 7, 0, 3, 4, 0, 8, 0, 8, 4, 5, 4, 8, 1, 8, 2, 1, 7, 2, 8, 0, 2, 6, 3, 8, 2, 2, 1, 0, 5, 3, 9, 2]",geometric,250,0.99,0.001,249.97222607040553,250,2048,geom_decay,50,55,0.3421189785003662
32,107.0,64,0.01570530002936721,"[7, 8, 8, 8, 5, 4, 7, 3, 5, 2, 4, 7, 5, 4, 8, 3, 7, 1, 7, 5, 0, 4, 0, 8, 1, 1, 4, 5, 4, 8, 1, 8, 2, 1, 7, 3, 0, 0, 2, 6, 3, 8, 2, 8, 1, 0, 1, 3, 9, 3]",geometric,250,0.99,0.001,249.96054222916524,250,2048,geom_decay,50,55,0.3421189785003662
64,109.0,128,0.024292950984090567,"[4, 8, 9, 8, 5, 7, 7, 3, 5, 2, 4, 1, 5, 4, 2, 7, 7, 1, 4, 4, 0, 4, 9, 8, 8, 1, 6, 5, 6, 8, 1, 8, 6, 0, 4, 3, 0, 7, 2, 6, 3, 0, 3, 4, 4, 2, 1, 7, 5, 0]",geometric,250,0.99,0.001,249.93896937162214,250,2048,geom_decay,50,55,0.3421189785003662
128,110.0,256,0.04063293698709458,"[9, 8, 9, 5, 5, 3, 8, 2, 1, 1, 9, 9, 2, 6, 1, 8, 7, 6, 0, 3, 0, 0, 1, 0, 2, 1, 6, 0, 6, 0, 1, 0, 7, 6, 5, 3, 0, 8, 7, 6, 0, 9, 0, 7, 5, 5, 8, 7, 7, 8]",geometric,250,0.99,0.001,249.8979271775372,250,2048,geom_decay,50,55,0.3421189785003662
256,116.0,510,0.07791750400792807,"[9, 0, 1, 1, 7, 3, 4, 2, 4, 2, 1, 3, 1, 0, 5, 2, 7, 0, 7, 9, 5, 0, 1, 9, 5, 7, 6, 4, 1, 3, 2, 7, 7, 1, 3, 9, 8, 5, 4, 6, 0, 5, 4, 6, 8, 6, 9, 0, 8, 8]",geometric,250,0.99,0.001,249.8043023640883,250,2048,geom_decay,50,55,0.3421189785003662
512,115.0,1001,0.17066266102483496,"[0, 7, 8, 3, 7, 6, 4, 0, 7, 7, 5, 0, 3, 8, 1, 2, 1, 8, 2, 0, 9, 9, 0, 6, 8, 3, 8, 6, 3, 0, 4, 2, 1, 0, 3, 2, 1, 2, 7, 6, 5, 6, 7, 7, 7, 4, 5, 8, 3, 2]",geometric,250,0.99,0.001,249.5715632707931,250,2048,geom_decay,50,55,0.3421189785003662
1024,123.0,1625,0.3352866200148128,"[3, 7, 5, 7, 4, 9, 5, 8, 7, 2, 8, 8, 7, 6, 7, 9, 2, 8, 0, 3, 1, 0, 1, 6, 8, 6, 7, 0, 3, 0, 3, 8, 2, 2, 1, 9, 5, 9, 5, 3, 7, 4, 0, 1, 5, 8, 6, 3, 3, 4]",geometric,250,0.99,0.001,249.15898201852755,250,2048,geom_decay,50,55,0.3421189785003662
