Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_exp_const,schedule_min_temp,schedule_current_value,Temperature,max_iters,Decay_Type,Problem_Size,Seed,Wall_Clock_Time,schedule_decay
16,110.0,32,0.014039026980753988,"[7, 8, 5, 8, 5, 4, 7, 3, 3, 8, 4, 3, 5, 7, 8, 3, 7, 0, 7, 0, 3, 4, 0, 8, 0, 8, 4, 5, 4, 8, 1, 8, 2, 1, 7, 2, 8, 0, 2, 6, 3, 8, 2, 2, 1, 0, 5, 3, 9, 2]",exponential,250,0.005,0.001,249.98245183217927,250,2048,exp_decay,50,55,0.6113400459289551,
32,107.0,64,0.020554375951178372,"[7, 8, 8, 8, 5, 4, 7, 3, 5, 2, 4, 7, 5, 4, 8, 3, 7, 1, 7, 5, 0, 4, 0, 8, 1, 1, 4, 5, 4, 8, 1, 8, 2, 1, 7, 3, 0, 0, 2, 6, 3, 8, 2, 8, 1, 0, 1, 3, 9, 3]",exponential,250,0.005,0.001,249.97430835027322,250,2048,exp_decay,50,55,0.6113400459289551,
64,109.0,128,0.02966618095524609,"[4, 8, 9, 8, 5, 7, 7, 3, 5, 2, 4, 1, 5, 4, 2, 7, 7, 1, 4, 4, 0, 4, 9, 8, 8, 1, 6, 5, 6, 8, 1, 8, 6, 0, 4, 3, 0, 7, 2, 6, 3, 0, 3, 4, 4, 2, 1, 7, 5, 0]",exponential,250,0.005,0.001,249.96292002392713,250,2048,exp_decay,50,55,0.6113400459289551,
128,110.0,256,0.04880411096382886,"[9, 8, 9, 5, 5, 3, 8, 2, 1, 1, 9, 9, 2, 6, 1, 8, 7, 6, 0, 3, 0, 0, 1, 0, 2, 1, 6, 0, 6, 0, 1, 0, 7, 6, 5, 3, 0, 8, 7, 6, 0, 9, 0, 7, 5, 5, 8, 7, 7, 8]",exponential,250,0.005,0.001,249.93900230394374,250,2048,exp_decay,50,55,0.6113400459289551,
256,114.0,512,0.09095888095907867,"[9, 4, 1, 1, 7, 3, 4, 2, 4, 1, 1, 3, 1, 0, 5, 2, 7, 0, 7, 9, 5, 0, 1, 9, 5, 7, 6, 4, 1, 3, 2, 7, 7, 1, 3, 4, 8, 5, 4, 6, 0, 5, 4, 6, 1, 6, 9, 0, 8, 8]",exponential,250,0.005,0.001,249.8863272496259,250,2048,exp_decay,50,55,0.6113400459289551,
512,110.0,1023,0.17827239295002073,"[0, 7, 5, 0, 9, 3, 4, 0, 2, 5, 8, 0, 5, 1, 8, 0, 3, 4, 3, 3, 8, 9, 7, 7, 1, 2, 8, 7, 5, 1, 4, 4, 1, 0, 3, 0, 1, 7, 7, 7, 2, 0, 6, 7, 9, 3, 4, 8, 3, 1]",exponential,250,0.005,0.001,249.77725879507932,250,2048,exp_decay,50,55,0.6113400459289551,
1024,119.0,2016,0.47324410296278074,"[6, 7, 7, 0, 6, 8, 1, 4, 2, 7, 3, 6, 0, 2, 8, 0, 4, 8, 2, 4, 5, 0, 2, 4, 7, 0, 7, 8, 3, 1, 5, 5, 9, 2, 1, 5, 3, 1, 8, 0, 4, 4, 2, 3, 1, 9, 5, 4, 9, 7]",exponential,250,0.005,0.001,249.409144194544,250,2048,exp_decay,50,55,0.6113400459289551,
2048,123.0,2349,0.604018488957081,"[4, 8, 1, 5, 9, 6, 0, 0, 5, 8, 8, 5, 1, 9, 8, 9, 8, 5, 4, 7, 5, 3, 7, 3, 5, 1, 8, 3, 9, 2, 6, 3, 6, 2, 0, 6, 1, 2, 8, 0, 3, 0, 3, 0, 4, 3, 7, 4, 2, 7]",exponential,250,0.005,0.001,249.24611586171085,250,2048,exp_decay,50,55,0.6113400459289551,
0,109.0,0,0.00026596500538289547,"[7, 8, 5, 7, 5, 1, 6, 0, 3, 8, 7, 1, 5, 7, 8, 3, 7, 0, 7, 2, 1, 8, 0, 8, 9, 8, 4, 5, 4, 9, 1, 8, 2, 0, 7, 2, 8, 0, 5, 6, 3, 8, 7, 2, 1, 3, 5, 3, 9, 2]",geometric,250,,0.001,249.9993317414858,250,2048,geom_decay,50,55,0.36545777320861816,0.99
1,108.0,2,0.0018666489631868899,"[7, 8, 5, 7, 5, 1, 6, 0, 3, 8, 7, 1, 5, 7, 8, 3, 7, 0, 7, 2, 1, 8, 0, 8, 0, 8, 4, 5, 4, 9, 1, 8, 2, 0, 7, 2, 8, 0, 5, 6, 3, 8, 7, 2, 1, 3, 5, 3, 9, 2]",geometric,250,,0.001,249.99530993174386,250,2048,geom_decay,50,55,0.36545777320861816,0.99
2,108.0,4,0.0033534569665789604,"[7, 8, 5, 7, 5, 1, 6, 0, 3, 8, 7, 3, 5, 7, 8, 3, 7, 0, 7, 2, 1, 8, 0, 8, 0, 8, 4, 5, 4, 9, 1, 8, 2, 0, 7, 2, 8, 0, 5, 6, 3, 8, 7, 2, 1, 3, 5, 3, 9, 2]",geometric,250,,0.001,249.99157429979195,250,2048,geom_decay,50,55,0.36545777320861816,0.99
