Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters,Population_Size,Mutation_Rate,Problem_Size,Seed
62,16.265156120003667,225.0,63065.0,1000,0.5,2048,1000,0.5,100,55
63,16.519499514019117,225.0,64066.0,1000,0.5,2048,1000,0.5,100,55
64,16.747686806018464,225.0,65067.0,1000,0.5,2048,1000,0.5,100,55
65,16.981495974003337,227.0,66069.0,1000,0.5,2048,1000,0.5,100,55
66,17.261811926029623,227.0,67070.0,1000,0.5,2048,1000,0.5,100,55
67,17.56903452402912,227.0,68071.0,1000,0.5,2048,1000,0.5,100,55
68,17.832937963015866,227.0,69072.0,1000,0.5,2048,1000,0.5,100,55
69,18.163757324044127,227.0,70073.0,1000,0.5,2048,1000,0.5,100,55
70,18.47565359500004,227.0,71074.0,1000,0.5,2048,1000,0.5,100,55
71,18.72082704404602,227.0,72075.0,1000,0.5,2048,1000,0.5,100,55
72,18.95075027400162,227.0,73076.0,1000,0.5,2048,1000,0.5,100,55
73,19.279268336016685,227.0,74077.0,1000,0.5,2048,1000,0.5,100,55
74,19.61331580404658,227.0,75078.0,1000,0.5,2048,1000,0.5,100,55
75,19.91144543903647,227.0,76079.0,1000,0.5,2048,1000,0.5,100,55
76,20.177654654020444,227.0,77080.0,1000,0.5,2048,1000,0.5,100,55
77,20.43747089104727,227.0,78081.0,1000,0.5,2048,1000,0.5,100,55
78,20.708651848020963,227.0,79082.0,1000,0.5,2048,1000,0.5,100,55
79,20.970474746020045,227.0,80083.0,1000,0.5,2048,1000,0.5,100,55
80,21.266141867032275,227.0,81084.0,1000,0.5,2048,1000,0.5,100,55
81,21.527165470004547,227.0,82085.0,1000,0.5,2048,1000,0.5,100,55
82,21.825314846995752,227.0,83086.0,1000,0.5,2048,1000,0.5,100,55
83,22.066533876000904,227.0,84087.0,1000,0.5,2048,1000,0.5,100,55
84,22.362280910019763,227.0,85088.0,1000,0.5,2048,1000,0.5,100,55
85,22.628947026038077,227.0,86089.0,1000,0.5,2048,1000,0.5,100,55
86,22.928645016043447,227.0,87090.0,1000,0.5,2048,1000,0.5,100,55
87,23.216270342003554,227.0,88091.0,1000,0.5,2048,1000,0.5,100,55
88,23.560652406013105,227.0,89092.0,1000,0.5,2048,1000,0.5,100,55
89,23.890241881017573,227.0,90093.0,1000,0.5,2048,1000,0.5,100,55
90,24.169306386029348,227.0,91094.0,1000,0.5,2048,1000,0.5,100,55
91,24.425016896042507,227.0,92095.0,1000,0.5,2048,1000,0.5,100,55
92,24.659472352999728,227.0,93096.0,1000,0.5,2048,1000,0.5,100,55
93,24.929210953996517,227.0,94097.0,1000,0.5,2048,1000,0.5,100,55
94,25.198143927031197,227.0,95098.0,1000,0.5,2048,1000,0.5,100,55
95,25.449657802993897,227.0,96099.0,1000,0.5,2048,1000,0.5,100,55
96,25.696104408998508,227.0,97100.0,1000,0.5,2048,1000,0.5,100,55
97,25.943527927040122,227.0,98101.0,1000,0.5,2048,1000,0.5,100,55
98,26.19848250702489,227.0,99102.0,1000,0.5,2048,1000,0.5,100,55
99,26.502502540010028,227.0,100103.0,1000,0.5,2048,1000,0.5,100,55
