Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_exp_const,schedule_min_temp,schedule_current_value,Temperature,max_iters,Decay_Type,Problem_Size,Seed,Wall_Clock_Time
64,49.0,128,0.036726968945004046,"[4, 1, 4, 7, 4, 4, 7, 5, 0, 7, 7, 4, 3, 6, 0, 2, 1, 1, 1, 5, 2, 5, 6, 5, 0]",exponential,1000,0.005,0.001,999.816382015121,1000,2048,exp_decay,25,12345,0.19717812538146973
128,51.0,256,0.061482592951506376,"[3, 6, 7, 5, 7, 6, 5, 0, 7, 2, 7, 6, 2, 0, 3, 0, 7, 1, 1, 5, 5, 6, 1, 5, 2]",exponential,1000,0.005,0.001,999.6926342817663,1000,2048,exp_decay,25,12345,0.19717812538146973
256,50.0,512,0.09386036498472095,"[3, 2, 6, 6, 4, 6, 0, 0, 7, 5, 3, 7, 1, 2, 6, 6, 4, 4, 6, 1, 1, 5, 3, 1, 0]",exponential,1000,0.005,0.001,999.530808279953,1000,2048,exp_decay,25,12345,0.19717812538146973
512,55.0,854,0.1912104319781065,"[6, 5, 6, 7, 2, 2, 6, 0, 2, 4, 4, 7, 2, 6, 5, 1, 5, 3, 6, 6, 0, 1, 3, 4, 7]",exponential,1000,0.005,0.001,999.0444047123663,1000,2048,exp_decay,25,12345,0.19717812538146973
1024,55.0,854,0.1912104319781065,"[6, 5, 6, 7, 2, 2, 6, 0, 2, 4, 4, 7, 2, 6, 5, 1, 5, 3, 6, 6, 0, 1, 3, 4, 7]",exponential,1000,0.005,0.001,999.0444047123663,1000,2048,exp_decay,25,12345,0.19717812538146973
2048,55.0,854,0.1912104319781065,"[6, 5, 6, 7, 2, 2, 6, 0, 2, 4, 4, 7, 2, 6, 5, 1, 5, 3, 6, 6, 0, 1, 3, 4, 7]",exponential,1000,0.005,0.001,999.0444047123663,1000,2048,exp_decay,25,12345,0.19717812538146973
0,109.0,0,0.00027553498512133956,"[7, 8, 5, 7, 5, 1, 6, 0, 3, 8, 7, 1, 5, 7, 8, 3, 7, 0, 7, 2, 1, 8, 0, 8, 9, 8, 4, 5, 4, 9, 1, 8, 2, 0, 7, 2, 8, 0, 5, 6, 3, 8, 7, 2, 1, 3, 5, 3, 9, 2]",exponential,250,0.005,0.001,249.99965558150586,250,2048,exp_decay,50,55,0.7619099617004395
1,108.0,2,0.0024663960211910307,"[7, 8, 5, 7, 5, 1, 6, 0, 3, 8, 7, 1, 5, 7, 8, 3, 7, 0, 7, 2, 1, 8, 0, 8, 0, 8, 4, 5, 4, 9, 1, 8, 2, 0, 7, 2, 8, 0, 5, 6, 3, 8, 7, 2, 1, 3, 5, 3, 9, 2]",exponential,250,0.005,0.001,249.99691702398317,250,2048,exp_decay,50,55,0.7619099617004395
2,108.0,4,0.004322057997342199,"[7, 8, 5, 7, 5, 1, 6, 0, 3, 8, 7, 3, 5, 7, 8, 3, 7, 0, 7, 2, 1, 8, 0, 8, 0, 8, 4, 5, 4, 9, 1, 8, 2, 0, 7, 2, 8, 0, 5, 6, 3, 8, 7, 2, 1, 3, 5, 3, 9, 2]",exponential,250,0.005,0.001,249.9945974858785,250,2048,exp_decay,50,55,0.7619099617004395
4,109.0,8,0.006548847013618797,"[7, 8, 5, 7, 5, 1, 6, 0, 3, 8, 7, 3, 5, 7, 8, 3, 7, 0, 7, 2, 1, 4, 0, 8, 0, 8, 4, 5, 4, 9, 1, 8, 2, 0, 7, 2, 8, 0, 5, 6, 3, 8, 2, 2, 1, 3, 5, 3, 9, 2]",exponential,250,0.005,0.001,249.99181407525464,250,2048,exp_decay,50,55,0.7619099617004395
