Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_exp_const,schedule_min_temp,schedule_current_value,Temperature,max_iters,Decay_Type,Problem_Size,Seed,Wall_Clock_Time,schedule_decay
256,2.0,512,0.051342474995180964,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0]",exponential,750,0.005,0.001,749.8074904296199,750,2048,exp_decay,25,12345,0.8946239948272705,
512,1.0,1024,0.10932261898415163,"[1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0]",exponential,750,0.005,0.001,749.5901522031005,750,2048,exp_decay,25,12345,0.8946239948272705,
1024,9.0,2044,0.39261171797988936,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0]",exponential,750,0.005,0.001,748.5291502120695,750,2048,exp_decay,25,12345,0.8946239948272705,
2048,46.0,3071,0.8779446419794112,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",exponential,750,0.005,0.001,746.7149231568035,750,2048,exp_decay,25,12345,0.8946239948272705,
0,1.0,0,0.00023803900694474578,"[1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]",geometric,750,,0.001,749.9982057231718,750,2048,geom_decay,50,55,1.4798400402069092,0.99
1,1.0,2,0.0027515469992067665,"[1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]",geometric,750,,0.001,749.9792598081816,750,2048,geom_decay,50,55,1.4798400402069092,0.99
2,1.0,4,0.004205345001537353,"[1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]",geometric,750,,0.001,749.9683018226345,750,2048,geom_decay,50,55,1.4798400402069092,0.99
4,1.0,8,0.0059942270163446665,"[1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1]",geometric,750,,0.001,749.9548183649524,750,2048,geom_decay,50,55,1.4798400402069092,0.99
8,1.0,16,0.007690464990446344,"[1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]",geometric,750,,0.001,749.9420334231804,750,2048,geom_decay,50,55,1.4798400402069092,0.99
16,1.0,32,0.014465646003372967,"[1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1]",geometric,750,,0.001,749.8909694753678,750,2048,geom_decay,50,55,1.4798400402069092,0.99
